Cell,Longitude,Latitude
G083732,117.1533,35.8809
G083733,117.1533,35.8809
G083741,117.05641,35.83001
G083742,117.05641,35.83001
G083743,117.05641,35.83001
G083761,116.72163,35.7701
G083762,116.72163,35.7701
G083763,116.72163,35.7701
G083771,117.1127,35.7991
G083772,117.1127,35.7991
G083773,117.1127,35.7991
G083781,116.98,35.7876
G083782,116.98,35.7876
G083783,116.98,35.7876
G083811,116.9036,35.7594.
G083812,116.9036,35.7594.
G083813,116.9036,35.7594.
G083821,116.8595,35.7429
G083822,116.8595,35.7429
G083823,116.8595,35.7429
G083851,117.12102,35.92541
G083852,117.12102,35.92541
G083853,117.12102,35.92541
G083861,116.79872,35.79641
G083862,116.79872,35.79641
G083863,116.79872,35.79641
G083871,116.89783,35.71982
G083872,116.89783,35.71982
G083873,116.89783,35.71982
G083881,116.83771,35.77491
G083882,116.83771,35.77491
G083883,116.83771,35.77491
G083921,117.02089,35.82363
G083922,117.02089,35.82363
G083923,117.02089,35.82363
G083941,116.85307,35.69633
G083942,116.85307,35.69633
G083943,116.85307,35.69633
G083961,117.11984,35.84748
G083962,117.11984,35.84748
G083963,117.11984,35.84748
G083971,116.68455,35.74601
G083972,116.68455,35.74601
G083973,116.68455,35.74601
G083981,116.7395,35.74869444
G083982,116.7395,35.74869444
G083983,116.7395,35.74869444
G084011,116.4447222,35.93277778
G084012,116.4447222,35.93277778
G084013,116.4447222,35.93277778
G084021,116.461112,35.934722
G084022,116.461112,35.934722
G084023,116.461112,35.934722
G084031,116.4764722,35.96366667
G084032,116.4764722,35.96366667
G084033,116.4764722,35.96366667
G084041,116.46,35.874445
G084042,116.46,35.874445
G084043,116.46,35.874445
G084051,116.4605556,35.93166667
G084052,116.4605556,35.93166667
G084053,116.4605556,35.93166667
G084061,116.45902,35.94605
G084062,116.45902,35.94605
G084063,116.45902,35.94605
G084131,116.301667,35.914722
G084132,116.301667,35.914722
G084133,116.301667,35.914722
G084141,116.476667,36.046945
G084142,116.476667,36.046945
G084143,116.476667,36.046945
H084151,116.263888,35.998612
H084152,116.263888,35.998612
H084153,116.263888,35.998612
G084171,116.371667,36.029722
G084172,116.371667,36.029722
G084181,116.388888,35.806388
G084182,116.388888,35.806388
G084183,116.388888,35.806388
G084211,116.423888,35.920833
G084212,116.423888,35.920833
G084213,116.423888,35.920833
G084221,116.300555,35.8525
G084251,116.463333,35.921388
G084252,116.463333,35.921388
G084253,116.463333,35.921388
H084271,116.313612,35.97
H084272,116.313612,35.97
H084273,116.313612,35.97
G084281,116.459167,35.989167
G084282,116.459167,35.989167
G084283,116.459167,35.989167
G084291,116.380278,35.883888
G084292,116.380278,35.883888
G084293,116.380278,35.883888
G084311,116.47,35.923055
G084312,116.47,35.923055
G084313,116.47,35.923055
G084331,116.526388,35.865278
G084332,116.526388,35.865278
G084333,116.526388,35.865278
G084361,116.413333,35.978611
G084381,116.350278,35.835556
G084382,116.350278,35.835556
G084411,116.3572222,35.92805556
G084412,116.3572222,35.92805556
G084413,116.3572222,35.92805556
G084421,116.3816667,36.06638889
G084431,116.3191667,35.8825
G084441,116.2811111,35.81833333
G084451,116.2422222,35.87777778
G084461,116.4144444,35.84166667
H084481,116.2775,35.96944444
H084482,116.2775,35.96944444
H084483,116.2775,35.96944444
G084541,116.4427,36.031
G084542,116.4427,36.031
G084561,116.3376,36.0001
G084562,116.3376,36.0001
G084571,116.4254,35.8883
G084572,116.4254,35.8883
G084581,116.3473,35.9003
G084582,116.3473,35.9003
G084583,116.3473,35.9003
G084591,116.495,35.894
G084601,116.4268,35.8979
G084611,116.44,35.8358
G084621,116.31939,35.78678
G084651,116.4908,35.9457
G084652,116.4908,35.9457
G084653,116.4908,35.9457
G084661,116.4325,36.0062
G084662,116.4325,36.0062
G084671,116.493,36.0091
G084691,116.4024?,36.0471
G084692,116.4024?,36.0471
G084693,116.4024?,36.0471
H084701,116.3063,36.0063
H084702,116.3063,36.0063
G084711,116.30632,35.86872
G084712,116.30632,35.86872
G084713,116.30632,35.86872
G084721,116.495562,35.857897
G084722,116.495562,35.857897
G084723,116.495562,35.857897
G084731,116.32854,35.82102
G084732,116.32854,35.82102
G084733,116.32854,35.82102
G084751,116.3856,35.9909
G084752,116.3856,35.9909
G084781,116.3687,35.9686
G084782,116.3687,35.9686
G084783,116.3687,35.9686
H084791,116.2764,35.9171
H084792,116.2764,35.9171
H084793,116.2764,35.9171
H084801,116.2329,36.0171
H084802,116.2329,36.0171
H084803,116.2329,36.0171
G084811,116.3899,35.911
G084812,116.3899,35.911
G084813,116.3899,35.911
G084831,116.27052,35.86122
G084832,116.27052,35.86122
G084833,116.27052,35.86122
G084861,116.33831,35.92801
